Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,N_Par,Clasificacion
Velocidad_Viento,INDICE DE DESEMPENO INSTITUCIONAL,0.4829265677792562,0.447420545960082,0.4829265677792562,0.447420545960082,48,Débil
DENSIDAD POBLACIONAL,TURBIDEZ,0.48157803293461215,0.6197647065320203,0.48157803293461215,0.6197647065320203,34,Débil
POBLACION TOTAL,COBERTURA DE ACUEDUCTO RURAL,0.4789269023948082,0.8990755888590045,0.4789269023948082,0.8990755888590045,528,Débil
CALIDAD DEL AGUA,FOSFORO TOTAL,0.47707399164470443,0.5148091782675306,0.47707399164470443,0.5148091782675306,9,No concluyente (n < 30)
irca,CALIDAD DEL AGUA,0.47630781428869984,0.5030030300035687,0.47630781428869984,0.5030030300035687,96,Débil
COBERTURA DE ACUEDUCTO RURAL,TURBIDEZ,0.4757218234477035,0.6147624402164161,0.4757218234477035,0.6147624402164161,34,Débil
irca,DENSIDAD POBLACIONAL,0.475304089113817,0.30992656739919366,0.475304089113817,0.30992656739919366,528,Débil
CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,0.47384217262263967,0.7319250547113999,0.47384217262263967,0.7319250547113999,96,Débil
CALIDAD DEL AGUA,CONDUCTIVIDAD ELECTRICA,0.47189390908715084,0.5654461466217139,0.47189390908715084,0.5654461466217139,9,No concluyente (n < 30)
COBERTURA DE ALCANTARILLADO RURAL,CALIDAD DEL AGUA,-0.46781077974510044,-0.629940788348712,0.46781077974510044,0.629940788348712,96,Débil
COBERTURA DE ACUEDUCTO RURAL,CALIDAD DEL AGUA,0.4678107797451004,0.629940788348712,0.4678107797451004,0.629940788348712,96,Débil
COBERTURA DE ACUEDUCTO URBANO,pH,-0.46517219191384557,-0.4113570019428818,0.46517219191384557,0.4113570019428818,50,Débil
Humedad_Relativa,TEMPERATURA,-0.4592549160838103,-0.38514925738112327,0.4592549160838103,0.38514925738112327,50,Débil
ACCESO A AGUA POTABLE ADECUADO,FOSFORO TOTAL,0.4591343236657352,0.5320925607891478,0.4591343236657352,0.5320925607891478,49,Débil
ACCESO A AGUA POTABLE ADECUADO,TURBIDEZ,0.45728924939537724,0.6409123710476698,0.45728924939537724,0.6409123710476698,34,Débil
Temp_Min_C,POBLACION TOTAL,0.45491879113613964,0.7571819249846923,0.45491879113613964,0.7571819249846923,528,Débil
Temp_Max_C,AGUAS RESIDUALES TRATADAS,0.4517014071659752,0.13179884900817504,0.4517014071659752,0.13179884900817504,96,Débil
DENSIDAD POBLACIONAL,ACCESO A AGUA POTABLE ADECUADO,0.45109641941192685,0.7623508321429403,0.45109641941192685,0.7623508321429403,528,Débil
COBERTURA DE ALCANTARILLADO RURAL,OXIGENO DISUELTO (OD),0.4431757510724208,0.5138288982293561,0.4431757510724208,0.5138288982293561,50,Débil
Humedad_Relativa,Radiacion_Solar,-0.4382246966846543,-0.4876038277773199,0.4382246966846543,0.4876038277773199,528,Débil
Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,-0.43706854019701075,-0.7762237762237763,0.43706854019701075,0.7762237762237763,12,No concluyente (n < 30)
COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ALCANTARILLADO RURAL,-0.4367594950267238,-0.5655209336910499,0.4367594950267238,0.5655209336910499,528,Débil
DENSIDAD POBLACIONAL,SOLIDOS SUSPENDIDOS TOTALES,0.43442636083457764,0.5719468136862718,0.43442636083457764,0.5719468136862718,50,Débil
COBERTURA DE ACUEDUCTO RURAL,NITROGENO TOTAL,0.4340655285163475,0.5348405573334052,0.4340655285163475,0.5348405573334052,29,No concluyente (n < 30)
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,TEMPERATURA,0.4330266797271836,0.5762045823665686,0.4330266797271836,0.5762045823665686,50,Débil
ACCESO A AGUA POTABLE ADECUADO,pH,-0.43132553774043014,-0.35282389971184874,0.43132553774043014,0.35282389971184874,50,Débil
Radiacion_Solar,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.42687760174489636,-0.5475429033026336,0.42687760174489636,0.5475429033026336,26,No concluyente (n < 30)
Precipitacion_mm,Radiacion_Solar,-0.424983687244536,-0.4363616846107672,0.424983687244536,0.4363616846107672,528,Débil
Temp_Max_C,Radiacion_Solar,0.4234305561668253,0.43665367419301343,0.4234305561668253,0.43665367419301343,528,Débil
COBERTURA DE ACUEDUCTO URBANO,SOLIDOS SUSPENDIDOS TOTALES,0.4220959149193472,0.6034534106539285,0.4220959149193472,0.6034534106539285,50,Débil
POBLACION TOTAL,SOLIDOS SUSPENDIDOS TOTALES,0.4205635342628807,0.5719468136862718,0.4205635342628807,0.5719468136862718,50,Débil
COBERTURA DE ACUEDUCTO RURAL,CONDUCTIVIDAD ELECTRICA,0.41976789551649,0.4100006994661819,0.41976789551649,0.4100006994661819,50,Débil
Anio,COBERTURA DE ALCANTARILLADO RURAL,-0.4177904915657767,-0.31153747351560346,0.4177904915657767,0.31153747351560346,528,Débil
COBERTURA DE ACUEDUCTO URBANO,FOSFORO TOTAL,0.41664098432766855,0.4619111207686428,0.41664098432766855,0.4619111207686428,49,Débil
DENSIDAD POBLACIONAL,COBERTURA DE ACUEDUCTO URBANO,0.41475155337614145,0.6736491520518402,0.41475155337614145,0.6736491520518402,528,Débil
POBLACION TOTAL,ACCESO A AGUA POTABLE ADECUADO,0.4107526984376335,0.7623508321429403,0.4107526984376335,0.7623508321429403,528,Débil
Velocidad_Viento,CALIDAD DEL AGUA,0.4064636277784563,0.38459041798494875,0.4064636277784563,0.38459041798494875,96,Débil
irca,DEMANDA QUIMICA DE OXIGENO (DQO),0.40335660988258876,0.504510918892574,0.40335660988258876,0.504510918892574,49,Débil
CALIDAD DEL AGUA,NITROGENO TOTAL,0.40129185320610816,0.5907646307988055,0.40129185320610816,0.5907646307988055,9,No concluyente (n < 30)
COBERTURA DE ACUEDUCTO URBANO,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.39996730442353656,-0.4794069199521,0.39996730442353656,0.4794069199521,26,No concluyente (n < 30)
Temp_Media_C,TURBIDEZ,0.39649806293929757,0.42900812030184826,0.39649806293929757,0.42900812030184826,34,Débil
Temp_Max_C,DEMANDA QUIMICA DE OXIGENO (DQO),0.39514565718704003,0.4443196949088197,0.39514565718704003,0.4443196949088197,49,Débil
COBERTURA DE ACUEDUCTO RURAL,SOLIDOS SUSPENDIDOS TOTALES,0.39434201785194106,0.5934458298559258,0.39434201785194106,0.5934458298559258,50,Débil
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),TEMPERATURA,-0.3914574208333092,-0.5913928746494463,0.3914574208333092,0.5913928746494463,26,No concluyente (n < 30)
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,NITROGENO TOTAL,0.3898563228040449,0.23282940223138893,0.3898563228040449,0.23282940223138893,29,No concluyente (n < 30)
Anio,FOSFORO TOTAL,0.38967883722781743,0.3133088708585023,0.38967883722781743,0.3133088708585023,49,Débil
ACCESO A AGUA POTABLE ADECUADO,CONDUCTIVIDAD ELECTRICA,0.38934832658594815,0.37133704466021644,0.38934832658594815,0.37133704466021644,50,Débil
Temp_Min_C,TURBIDEZ,0.3890693718388068,0.5090561845676033,0.3890693718388068,0.5090561845676033,34,Débil
Nivel_Minimo,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.3886027017476321,-0.3404271044608361,0.3886027017476321,0.3404271044608361,10,No concluyente (n < 30)
COBERTURA DE ALCANTARILLADO RURAL,TURBIDEZ,-0.3841955629240749,-0.5263060791369093,0.3841955629240749,0.5263060791369093,34,Débil
POBLACION TOTAL,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.38382564523831836,-0.5264323490754701,0.38382564523831836,0.5264323490754701,26,No concluyente (n < 30)
Humedad_Relativa,irca,-0.3832775452959649,-0.4267131525990377,0.3832775452959649,0.4267131525990377,528,Débil
DEMANDA QUIMICA DE OXIGENO (DQO),pH,0.38276571890227457,0.4740978945743184,0.38276571890227457,0.4740978945743184,49,Débil
