Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
128,Sopo_Sur,2021-09-01,2022-08-01,2022-09-01,Train,128,549053800.0,438928742.3620231,110125081.63797688,110125081.63797688,20.057246999153378
129,Sopo_Sur,2021-10-01,2022-09-01,2022-10-01,Train,129,545696450.0,438992716.65750396,106703731.34249604,106703731.34249604,19.553678924165553
130,Sopo_Sur,2021-11-01,2022-10-01,2022-11-01,Train,130,556572100.0,440543952.86593467,116028143.13406533,116028143.13406533,20.846920635788635
131,Sopo_Sur,2021-12-01,2022-11-01,2022-12-01,Train,131,564248770.0,441951091.01772094,122297676.98227906,122297676.98227906,21.67442516813418
132,Sopo_Sur,2022-01-01,2022-12-01,2023-01-01,Train,132,555273340.0,439100365.3562112,116172978.64378881,116172978.64378881,20.921764010301352
133,Sopo_Sur,2022-02-01,2023-01-01,2023-02-01,Train,133,540964800.0,489913885.0699118,51050914.93008822,51050914.93008822,9.437012339821043
134,Sopo_Sur,2022-03-01,2023-02-01,2023-03-01,Train,134,544803000.0,519445776.8943751,25357231.105624914,25357231.105624914,4.654385297671652
135,Sopo_Sur,2022-04-01,2023-03-01,2023-04-01,Train,135,558005500.0,525990701.70582825,32014802.29417175,32014802.29417175,5.73736317378184
136,Sopo_Sur,2022-05-01,2023-04-01,2023-05-01,Train,136,563669570.0,532278371.07006127,31391196.929938734,31391196.929938734,5.5690778271603865
137,Sopo_Sur,2022-06-01,2023-05-01,2023-06-01,Train,137,577965060.0,534511754.34977746,43453301.65022254,43453301.65022254,7.518326791407704
138,Sopo_Sur,2022-07-01,2023-06-01,2023-07-01,Train,138,597035300.0,533209931.149961,63825396.850039005,63825396.850039005,10.690388634764174
139,Sopo_Sur,2022-08-01,2023-07-01,2023-08-01,Train,139,619585600.0,527645982.57947963,91939617.42052037,91939617.42052037,14.838888673416614
140,Sopo_Sur,2022-09-01,2023-08-01,2023-09-01,Train,140,614449340.0,540678599.841924,73770744.15807605,73770744.15807605,12.00599282567971
141,Sopo_Sur,2022-10-01,2023-09-01,2023-10-01,Train,141,599453800.0,546376461.0228068,53077362.97719324,53077362.97719324,8.854287161440018
142,Sopo_Sur,2022-11-01,2023-10-01,2023-11-01,Validacion,142,594481660.0,552563038.4053563,41918625.59464371,41918625.59464371,7.051289910708451
143,Sopo_Sur,2022-12-01,2023-11-01,2023-12-01,Validacion,143,580021800.0,548664940.482109,31356883.51789105,31356883.51789105,5.406155806628933
144,Sopo_Sur,2023-01-01,2023-12-01,2024-01-01,Validacion,144,554029630.0,548016158.8891435,6013473.110856533,6013473.110856533,1.0854064049152758
145,Sopo_Sur,2023-02-01,2024-01-01,2024-02-01,Validacion,145,525531650.0,497788292.3017714,27743355.698228598,27743355.698228598,5.279102753147342
146,Sopo_Sur,2023-03-01,2024-02-01,2024-03-01,Validacion,146,500117660.0,465637371.72318864,34480292.27681136,34480292.27681136,6.894436001526905
147,Sopo_Sur,2023-04-01,2024-03-01,2024-04-01,Validacion,147,474841700.0,434793215.0344395,40048480.965560496,40048480.965560496,8.434069986465657
148,Sopo_Sur,2023-05-01,2024-04-01,2024-05-01,Validacion,148,467863200.0,415614326.9121291,52248873.087870896,52248873.087870896,11.16755348312731
149,Sopo_Sur,2023-06-01,2024-05-01,2024-06-01,Validacion,149,486531520.0,404274046.47020704,82257473.52979296,82257473.52979296,16.906915615619923
150,Sopo_Sur,2023-07-01,2024-06-01,2024-07-01,Validacion,150,499495100.0,406102026.14590085,93393077.85409915,93393077.85409915,18.697496152855017
151,Sopo_Sur,2023-08-01,2024-07-01,2024-08-01,Validacion,151,504866460.0,414574557.84908724,90291906.15091276,90291906.15091276,17.88431448497097
152,Sopo_Sur,2023-09-01,2024-08-01,2024-09-01,Validacion,152,486848770.0,419185837.6621694,67662930.3378306,67662930.3378306,13.898141432254913
153,Sopo_Sur,2023-10-01,2024-09-01,2024-10-01,Validacion,153,470190180.0,421441002.57810026,48749173.421899736,48749173.421899736,10.367969368611337
154,Sopo_Sur,2023-11-01,2024-10-01,2024-11-01,Validacion,154,481637380.0,416799658.4115885,64837717.58841151,64837717.58841151,13.461936473221611
155,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,Prueba,155,492346400.0,415364761.09866893,76981638.90133107,76981638.90133107,15.635666047589881
156,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,Prueba,156,478472860.0,419970561.54606503,58502302.45393497,58502302.45393497,12.226879903879976
157,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,Prueba,157,453861340.0,420771571.4939147,33089772.506085277,33089772.506085277,7.290722804118184
158,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,Prueba,158,431913250.0,421951341.2442673,9961906.755732715,9961906.755732715,2.3064601055563627
159,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,Prueba,159,410084320.0,422292724.8271163,-12208404.82711631,12208404.82711631,2.9770474587071045
160,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,Prueba,160,404057540.0,425298386.88494587,-21240850.88494587,21240850.88494587,5.256887693574875
161,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,Prueba,161,420179940.0,425293058.00888073,-5113122.008880734,5113122.008880734,1.2168886638320433
162,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,Prueba,162,431375580.0,428345708.3285643,3029875.671435714,3029875.671435714,0.702375327629974
163,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01,Prueba,163,436014400.0,431951361.3148913,4063038.6851087213,4063038.6851087213,0.9318588296874418
164,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01,Prueba,164,420453920.0,436287768.3624601,-15833848.362460077,15833848.362460077,3.7658938612012647
165,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01,Prueba,165,406067140.0,438604561.47926813,-32537425.479268134,32537425.479268134,8.01281921008947
